City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tobelo,1.7284,128.0095,27.03,80,94,0.64,ID,1732995098
83,pisco,-13.7,-76.2167,23.03,73,0,6.17,PE,1732995100
84,isafjordur,66.0755,-23.124,-7.05,85,98,13.78,IS,1732995101
85,fale old settlement,-9.3852,-171.2468,28.67,65,89,8.45,TK,1732995102
86,ancud,-41.8697,-73.8203,13.89,65,12,6.66,CL,1732995103
87,balaipungut,1.05,101.2833,23.78,97,100,0.8,ID,1732995104
88,mbandaka,0.0487,18.2603,22.5,93,98,1.55,CD,1732995105
89,papatowai,-46.5619,169.4708,13.93,53,3,5.27,NZ,1732995106
90,susuman,62.7833,148.1667,-13.12,96,100,0.6,RU,1732995107
91,verkhnevilyuysk,63.4453,120.3167,-32.76,98,92,2.49,RU,1732995109
92,punta arenas,-53.15,-70.9167,10.06,76,75,10.29,CL,1732995070
93,puerto ayora,-0.7393,-90.3518,22.16,79,70,4.75,EC,1732995111
94,stanley,54.868,-1.6985,11.01,91,20,5.66,GB,1732995112
95,lubang,13.8584,120.124,26.31,85,100,7.87,PH,1732995113
96,hawaiian paradise park,19.5933,-154.9731,24.29,80,40,1.54,US,1732995114
97,samho-rodongjagu,39.9475,127.8711,1.44,58,0,2.56,KP,1732995115
98,bure,10.7,37.0667,13.79,86,61,2.21,ET,1732995116
99,atafu village,-8.5421,-172.5159,28.54,70,100,8.18,TK,1732995117
100,reggane,26.7158,0.1714,19.7,16,0,3.71,DZ,1732995118
101,thompson,55.7435,-97.8558,-11.91,79,75,3.09,CA,1732995119
102,silver city,32.7701,-108.2803,15.17,35,53,1.79,US,1732995121
103,port elizabeth,-33.918,25.5701,17.95,93,0,1.03,ZA,1732995122
104,ilulissat,69.2167,-51.1,-10.99,67,75,1.03,GL,1732995123
105,nuuk,64.1835,-51.7216,-1.66,59,75,2.06,GL,1732995124
106,callao,-12.0667,-77.15,23.16,68,40,6.69,PE,1732994966
107,cabedelo,-6.9811,-34.8339,29.37,69,79,4.73,BR,1732995126
108,hohhot,40.8106,111.6522,-8.84,86,0,2.0,CN,1732994934
109,ippy,6.2679,21.2247,24.47,37,10,1.3,CF,1732995128
110,badger,64.8,-147.5333,-23.07,80,0,1.54,US,1732995129
111,nago,26.5881,127.9761,16.26,68,70,1.14,JP,1732995130
112,alice springs,-23.7,133.8833,26.75,47,100,3.6,AU,1732995131
113,lebu,-37.6167,-73.65,15.57,73,0,6.2,CL,1732995132
114,hammerfest,70.6634,23.6821,-3.75,74,75,5.66,NO,1732995133
115,koungou,-12.7336,45.2042,26.84,89,0,4.12,YT,1732995134
116,yamada,39.4667,141.95,3.32,59,0,6.38,JP,1732995136
117,emerald,-23.5333,148.1667,21.3,99,10,3.19,AU,1732995137
118,mount isa,-20.7333,139.5,21.87,94,4,0.0,AU,1732995138
119,lichinga,-13.3128,35.2406,19.05,63,0,4.63,MZ,1732995139
120,birzebbuga,35.8258,14.5269,14.38,51,20,6.17,MT,1732995140
121,panjab,34.388,67.0233,-5.47,76,60,0.84,AF,1732995141
122,pontes e lacerda,-15.2261,-59.3353,24.17,95,100,1.74,BR,1732995142
123,alotau,-10.3069,150.4462,25.62,95,31,0.97,PG,1732995143
124,yellowknife,62.456,-114.3525,-19.71,84,100,3.09,CA,1732995144
125,west bay,19.3667,-81.4167,28.92,83,75,4.63,KY,1732995145
126,udachny,66.4167,112.4,-33.98,100,96,1.37,RU,1732995146
127,pangody,65.85,74.4859,-7.42,91,100,8.53,RU,1732995147
128,margaret river,-33.95,115.0667,15.92,78,100,4.0,AU,1732994996
129,sumbawanga,-7.9667,31.6167,17.89,88,100,0.0,TZ,1732995150
130,herkimer,43.0256,-74.986,0.94,68,100,5.89,US,1732995151
